PID,field_abstract,field_alt_title,field_classification,field_copyright_date,field_date_captured,field_dewey_classification,field_edition,field_edtf_date_created,field_edtf_date_issued,field_extent,field_full_title,field_geographic_subject,field_identifier,field_is_preceded_by,field_is_succeeded_by,field_isbn,field_language,field_lcc_classification,field_linked_agent,field_local_identifier,field_mode_of_issuance,field_note,field_oclc_number,field_physical_form,field_pid,field_place_published,field_place_published_country,field_resource_type,field_rights,field_subject,field_subjects_name,field_table_of_contents,title
lsu-ag-agexp:8343,,,,,,,,,,,lsu-ag-agexp:8300-26,,,,,,,,,,,,,,lsu-ag-agexp:8343,,,,,,,,lsu-ag-agexp:8300-26
lsu-ag-agexp:8344,,,,,,,,,,,lsu-ag-agexp:8300-13,,,,,,,,,,,,,,lsu-ag-agexp:8344,,,,,,,,lsu-ag-agexp:8300-13
lsu-ag-agexp:8345,,,,,,,,,,,lsu-ag-agexp:8300-28,,,,,,,,,,,,,,lsu-ag-agexp:8345,,,,,,,,lsu-ag-agexp:8300-28
lsu-ag-agexp:8346,,,,,,,,,,,lsu-ag-agexp:8300-2,,,,,,,,,,,,,,lsu-ag-agexp:8346,,,,,,,,lsu-ag-agexp:8300-2
lsu-ag-agexp:8347,,,,,,,,,,,lsu-ag-agexp:8300-56,,,,,,,,,,,,,,lsu-ag-agexp:8347,,,,,,,,lsu-ag-agexp:8300-56
lsu-ag-agexp:8348,,,,,,,,,,,lsu-ag-agexp:8300-52,,,,,,,,,,,,,,lsu-ag-agexp:8348,,,,,,,,lsu-ag-agexp:8300-52
lsu-ag-agexp:8349,,,,,,,,,,,lsu-ag-agexp:8300-22,,,,,,,,,,,,,,lsu-ag-agexp:8349,,,,,,,,lsu-ag-agexp:8300-22
lsu-ag-agexp:834,,,,,,,,,,,lsu-ag-agexp:831-32,,,,,,,,,,,,,,lsu-ag-agexp:834,,,,,,,,lsu-ag-agexp:831-32
lsu-ag-agexp:8350,,,,,,,,,,,lsu-ag-agexp:8300-21,,,,,,,,,,,,,,lsu-ag-agexp:8350,,,,,,,,lsu-ag-agexp:8300-21
lsu-ag-agexp:8351,,,,,,,,,,,lsu-ag-agexp:8300-20,,,,,,,,,,,,,,lsu-ag-agexp:8351,,,,,,,,lsu-ag-agexp:8300-20
lsu-ag-agexp:8352,,,,,,,,,,,lsu-ag-agexp:8300-8,,,,,,,,,,,,,,lsu-ag-agexp:8352,,,,,,,,lsu-ag-agexp:8300-8
lsu-ag-agexp:8353,,,,,,,,,,,lsu-ag-agexp:8300-14,,,,,,,,,,,,,,lsu-ag-agexp:8353,,,,,,,,lsu-ag-agexp:8300-14
lsu-ag-agexp:8354,,,,,,,,,,,lsu-ag-agexp:8300-11,,,,,,,,,,,,,,lsu-ag-agexp:8354,,,,,,,,lsu-ag-agexp:8300-11
lsu-ag-agexp:8355,,,,,,,,,,,lsu-ag-agexp:8300-37,,,,,,,,,,,,,,lsu-ag-agexp:8355,,,,,,,,lsu-ag-agexp:8300-37
