id,field_abstract,field_alt_title,field_classification,field_copyright_date,field_dewey_classification,field_edition,field_edtf_date_created,field_edtf_date_issued,field_extent,field_full_title,field_geographic_subject,field_identifier,field_isbn,field_language,field_lcc_classification,field_linked_agent,field_local_identifier,field_mode_of_issuance,field_note,field_oclc_number,field_physical_form,field_pid,field_place_published,field_place_published_country,field_resource_type,field_rights,field_subject,field_subjects_name,field_table_of_contents,title,file,parent_id,field_weight,field_member_of,field_model
lsu-ag-agexp:8624,,,,,,,,,,lsu-ag-agexp:8610-24,,,,,,,,,,,,lsu-ag-agexp:8624,,,"some test Value, Should not be empty",,,,,lsu-ag-agexp:8610-24,,,,,Language
lsu-ag-agexp:8625,,,,,,,,,,lsu-ag-agexp:8610-15,,,,,,,,,,,,lsu-ag-agexp:8625,,,"some test Value, Should not be empty",,,,,lsu-ag-agexp:8610-15,,,,,Language
lsu-ag-agexp:8626,,,,,,,,,,lsu-ag-agexp:8610-31,,,,,,,,,,,,lsu-ag-agexp:8626,,,"some test Value, Should not be empty",,,,,lsu-ag-agexp:8610-31,,,,,Language
lsu-ag-agexp:8627,,,,,,,,,,lsu-ag-agexp:8610-3,,,,,,,,,,,,lsu-ag-agexp:8627,,,"some test Value, Should not be empty",,,,,lsu-ag-agexp:8610-3,,,,,Language
lsu-ag-agexp:8628,,,,,,,,,,lsu-ag-agexp:8610-4,,,,,,,,,,,,lsu-ag-agexp:8628,,,"some test Value, Should not be empty",,,,,lsu-ag-agexp:8610-4,,,,,Language
lsu-ag-agexp:8629,,,,,,,,,,lsu-ag-agexp:8610-30,,,,,,,,,,,,lsu-ag-agexp:8629,,,"some test Value, Should not be empty",,,,,lsu-ag-agexp:8610-30,,,,,Language
lsu-ag-agexp:862,,,,,,,,,,lsu-ag-agexp:831-20,,,,,,,,,,,,lsu-ag-agexp:862,,,"some test Value, Should not be empty",,,,,lsu-ag-agexp:831-20,,,,,Language
lsu-ag-agexp:8630,,,,,,,,,,lsu-ag-agexp:8610-17,,,,,,,,,,,,lsu-ag-agexp:8630,,,"some test Value, Should not be empty",,,,,lsu-ag-agexp:8610-17,,,,,Language
lsu-ag-agexp:8631,,,,,,,,,,lsu-ag-agexp:8610-35,,,,,,,,,,,,lsu-ag-agexp:8631,,,"some test Value, Should not be empty",,,,,lsu-ag-agexp:8610-35,,,,,Language
lsu-ag-agexp:8632,,,,,,,,,,lsu-ag-agexp:8610-23,,,,,,,,,,,,lsu-ag-agexp:8632,,,"some test Value, Should not be empty",,,,,lsu-ag-agexp:8610-23,,,,,Language
